Event based TLM
Project: KappaDirectional
Thu Dec 04 16:18:32 2008


V	Distance	Theta	Phi
-1.333333	0.000000	-1.#IND00	-1.#IND00
0.026804	9.000000	1.570796	-1.#IND00
-0.010610	18.000000	1.570796	-1.#IND00
0.006095	27.000000	1.570796	-1.#IND00
-0.004125	36.000000	1.570796	-1.#IND00
0.003175	45.000000	1.570796	-1.#IND00
0.002705	54.000000	1.570796	-1.#IND00
0.002580	63.000000	1.570796	-1.#IND00
0.002637	72.000000	1.570796	-1.#IND00
0.002607	81.000000	1.570796	-1.#IND00
0.026804	9.000000	0.000000	1.570796
-0.036001	12.727922	0.785398	1.570796
0.009456	20.124612	1.107149	1.570796
0.006321	28.460499	1.249046	1.570796
-0.003981	37.107951	1.325818	1.570796
-0.002388	45.891176	1.373401	1.570796
-0.002171	54.744863	1.405648	1.570796
0.001481	63.639610	1.428899	1.570796
-0.002052	72.560320	1.446441	1.570796
-0.001222	81.498466	1.460139	1.570796
-0.010610	18.000000	0.000000	1.570796
0.009456	20.124612	0.463648	1.570796
-0.016192	25.455844	0.785398	1.570796
-0.006998	32.449961	0.982794	1.570796
0.002797	40.249224	1.107149	1.570796
-0.002824	48.466483	1.190290	1.570796
0.002714	56.920998	1.249046	1.570796
0.001657	65.520989	1.292497	1.570796
0.001864	74.215901	1.325818	1.570796
-0.001033	82.975900	1.352127	1.570796
0.006095	27.000000	0.000000	1.570796
0.006321	28.460499	0.321751	1.570796
-0.006998	32.449961	0.588003	1.570796
0.010082	38.183766	0.785398	1.570796
-0.003754	45.000000	0.927295	1.570796
0.003502	52.478567	1.030377	1.570796
0.001825	60.373835	1.107149	1.570796
-0.001961	68.541958	1.165905	1.570796
-0.001785	76.896034	1.212026	1.570796
-0.001590	85.381497	1.249046	1.570796
-0.004125	36.000000	0.000000	1.570796
-0.003981	37.107951	0.244979	1.570796
0.002797	40.249224	0.463648	1.570796
-0.003754	45.000000	0.643501	1.570796
0.007073	50.911688	0.785398	1.570796
-0.002634	57.628118	0.896055	1.570796
0.002897	64.899923	0.982794	1.570796
-0.002117	72.560320	1.051650	1.570796
0.002011	80.498447	1.107149	1.570796
0.001077	88.639720	1.152572	1.570796
0.003175	45.000000	0.000000	1.570796
-0.002388	45.891176	0.197396	1.570796
-0.002824	48.466483	0.380506	1.570796
0.003502	52.478567	0.540420	1.570796
-0.002634	57.628118	0.674741	1.570796
0.005314	63.639610	0.785398	1.570796
-0.002324	70.292247	0.876058	1.570796
-0.002005	77.420927	0.950547	1.570796
0.002038	84.905830	1.012197	1.570796
0.001493	92.660671	1.063698	1.570796
0.002705	54.000000	0.000000	1.570796
-0.002171	54.744863	0.165149	1.570796
0.002714	56.920998	0.321751	1.570796
0.001825	60.373835	0.463648	1.570796
0.002897	64.899923	0.588003	1.570796
-0.002324	70.292247	0.694738	1.570796
0.004182	76.367532	0.785398	1.570796
-0.002360	82.975900	0.862170	1.570796
-0.001756	90.000000	0.927295	1.570796
-0.001256	97.349884	0.982794	1.570796
0.002580	63.000000	0.000000	1.570796
0.001481	63.639610	0.141897	1.570796
0.001657	65.520989	0.278300	1.570796
-0.001961	68.541958	0.404892	1.570796
-0.002117	72.560320	0.519146	1.570796
-0.002005	77.420927	0.620249	1.570796
-0.002360	82.975900	0.708626	1.570796
0.003644	89.095454	0.785398	1.570796
0.002301	95.671312	0.851966	1.570796
0.001728	102.615788	0.909753	1.570796
0.002637	72.000000	0.000000	1.570796
-0.002052	72.560320	0.124355	1.570796
0.001864	74.215901	0.244979	1.570796
-0.001785	76.896034	0.358771	1.570796
0.002011	80.498447	0.463648	1.570796
0.002038	84.905830	0.558599	1.570796
-0.001756	90.000000	0.643501	1.570796
0.002301	95.671312	0.718830	1.570796
0.003616	101.823376	0.785398	1.570796
0.001640	108.374351	0.844154	1.570796
0.002607	81.000000	0.000000	1.570796
-0.001222	81.498466	0.110657	1.570796
-0.001033	82.975900	0.218669	1.570796
-0.001590	85.381497	0.321751	1.570796
0.001077	88.639720	0.418224	1.570796
0.001493	92.660671	0.507099	1.570796
-0.001256	97.349884	0.588003	1.570796
0.001728	102.615788	0.661043	1.570796
0.001640	108.374351	0.726642	1.570796
0.003124	114.551299	0.785398	1.570796
0.026804	9.000000	0.000000	0.000000
-0.036001	12.727922	0.785398	0.000000
0.009456	20.124612	1.107149	0.000000
0.006321	28.460499	1.249046	0.000000
-0.003981	37.107951	1.325818	0.000000
-0.002388	45.891176	1.373401	0.000000
-0.002171	54.744863	1.405648	0.000000
0.001481	63.639610	1.428899	0.000000
-0.002052	72.560320	1.446441	0.000000
-0.001222	81.498466	1.460139	0.000000
-0.036001	12.727922	0.000000	0.785398
-0.057559	15.588457	0.615480	0.785398
-0.011454	22.045408	0.955317	0.785398
0.006570	29.849623	1.130286	0.785398
-0.004616	38.183766	1.230959	0.785398
0.003306	46.765372	1.295154	0.785398
-0.002718	55.479726	1.339319	0.785398
0.002488	64.272856	1.371449	0.785398
0.002643	73.116346	1.395827	0.785398
-0.001542	81.993902	1.414936	0.785398
0.009456	20.124612	0.000000	1.107149
-0.011454	22.045408	0.420534	1.107149
-0.017732	27.000000	0.729728	1.107149
-0.007303	33.674916	0.930274	1.107149
-0.002474	41.243181	1.061057	1.107149
-0.001955	49.295030	1.150262	1.107149
0.002319	57.628118	1.214063	1.107149
-0.002518	66.136223	1.261603	1.107149
-0.002109	74.759615	1.298243	1.107149
0.001553	83.462566	1.327275	1.107149
0.006321	28.460499	0.000000	1.249046
0.006570	29.849623	0.306277	1.249046
-0.007303	33.674916	0.563943	1.249046
0.010677	39.230090	0.759070	1.249046
-0.004849	45.891176	0.901832	1.249046
-0.002719	53.244718	1.006854	1.249046
0.002743	61.040970	1.085747	1.249046
0.001497	69.130312	1.146485	1.249046
0.001440	77.420927	1.194361	1.249046
-0.001251	85.854528	1.232907	1.249046
-0.003981	37.107951	0.000000	1.325818
-0.004616	38.183766	0.237941	1.325818
-0.002474	41.243181	0.451633	1.325818
-0.004849	45.891176	0.629015	1.325818
-0.007102	51.701064	0.770244	1.325818
-0.003212	58.326666	0.881222	1.325818
-0.003259	65.520989	0.968723	1.325818
-0.001563	73.116346	1.038493	1.325818
0.002386	81.000000	1.094914	1.325818
0.001078	89.095454	1.141208	1.325818
-0.002388	45.891176	0.000000	1.373401
0.003306	46.765372	0.193658	1.373401
-0.001955	49.295030	0.373792	1.373401
-0.002719	53.244718	0.531808	1.373401
-0.003212	58.326666	0.665196	1.373401
-0.005379	64.272856	0.775594	1.373401
0.002304	70.866071	0.866397	1.373401
0.002459	77.942286	0.941243	1.373401
-0.002208	85.381497	1.003346	1.373401
0.001115	93.096724	1.055330	1.373401
-0.002171	54.744863	0.000000	1.405648
-0.002718	55.479726	0.162941	1.405648
0.002319	57.628118	0.317663	1.405648
0.002743	61.040970	0.458190	1.405648
-0.003259	65.520989	0.581697	1.405648
0.002304	70.866071	0.688009	1.405648
-0.004530	76.896034	0.778549	1.405648
0.001948	83.462566	0.855394	1.405648
0.001627	90.448881	0.920707	1.405648
0.001670	97.765024	0.976454	1.405648
0.001481	63.639610	0.000000	1.428899
0.002488	64.272856	0.140490	1.428899
-0.002518	66.136223	0.275643	1.428899
0.001497	69.130312	0.401247	1.428899
-0.001563	73.116346	0.514806	1.428899
0.002459	77.942286	0.615480	1.428899
0.001948	83.462566	0.703639	1.428899
-0.003820	89.548869	0.780348	1.428899
-0.001686	96.093704	0.846957	1.428899
-0.001710	103.009708	0.904852	1.428899
-0.002052	72.560320	0.000000	1.446441
0.002643	73.116346	0.123404	1.446441
-0.002109	74.759615	0.243161	1.446441
0.001440	77.420927	0.356229	1.446441
0.002386	81.000000	0.460554	1.446441
-0.002208	85.381497	0.555121	1.446441
0.001627	90.448881	0.639784	1.446441
-0.001686	96.093704	0.714990	1.446441
-0.003053	102.220350	0.781522	1.446441
0.001666	108.747414	0.840303	1.446441
-0.001222	81.498466	0.000000	1.460139
-0.001542	81.993902	0.109986	1.460139
0.001553	83.462566	0.217373	1.460139
-0.001251	85.854528	0.319915	1.460139
0.001078	89.095454	0.415952	1.460139
0.001115	93.096724	0.504498	1.460139
0.001670	97.765024	0.585174	1.460139
-0.001710	103.009708	0.658072	1.460139
0.001666	108.747414	0.723597	1.460139
-0.002320	114.904308	0.782331	1.460139
-0.010610	18.000000	0.000000	0.000000
0.009456	20.124612	0.463648	0.000000
-0.016192	25.455844	0.785398	0.000000
-0.006998	32.449961	0.982794	0.000000
0.002797	40.249224	1.107149	0.000000
-0.002824	48.466483	1.190290	0.000000
0.002714	56.920998	1.249046	0.000000
0.001657	65.520989	1.292497	0.000000
0.001864	74.215901	1.325818	0.000000
-0.001033	82.975900	1.352127	0.000000
0.009456	20.124612	0.000000	0.463648
-0.011454	22.045408	0.420534	0.463648
-0.017732	27.000000	0.729728	0.463648
-0.007303	33.674916	0.930274	0.463648
-0.002474	41.243181	1.061057	0.463648
-0.001955	49.295030	1.150262	0.463648
0.002319	57.628118	1.214063	0.463648
-0.002518	66.136223	1.261603	0.463648
-0.002109	74.759615	1.298243	0.463648
0.001553	83.462566	1.327275	0.463648
-0.016192	25.455844	0.000000	0.785398
-0.017732	27.000000	0.339837	0.785398
-0.029664	31.176915	0.615480	0.785398
0.008402	37.107951	0.814827	0.785398
-0.004406	44.090815	0.955317	0.785398
0.003230	51.701064	1.055990	0.785398
0.002726	59.699246	1.130286	0.785398
0.002620	67.948510	1.186794	0.785398
0.002034	76.367532	1.230959	0.785398
0.001743	84.905830	1.266300	0.785398
-0.006998	32.449961	0.000000	0.982794
-0.007303	33.674916	0.270550	0.982794
0.008402	37.107951	0.506445	0.982794
0.011380	42.213742	0.693981	0.982794
-0.004258	48.466483	0.837215	0.982794
-0.003671	55.479726	0.946042	0.982794
0.001875	63.000000	1.029697	0.982794
0.001277	70.866071	1.095159	0.982794
-0.000951	78.974679	1.147365	0.982794
-0.001372	87.258237	1.189758	0.982794
0.002797	40.249224	0.000000	1.107149
-0.002474	41.243181	0.219988	1.107149
-0.004406	44.090815	0.420534	1.107149
-0.004258	48.466483	0.590873	1.107149
-0.007679	54.000000	0.729728	1.107149
-0.002977	60.373835	0.841069	1.107149
0.002907	67.349833	0.930274	1.107149
-0.001437	74.759615	1.002281	1.107149
0.001792	82.486363	1.061057	1.107149
0.001611	90.448881	1.109629	1.107149
-0.002824	48.466483	0.000000	1.190290
-0.001955	49.295030	0.183604	1.190290
0.003230	51.701064	0.355603	1.190290
-0.003671	55.479726	0.508267	1.190290
-0.002977	60.373835	0.638865	1.190290
-0.005934	66.136223	0.748327	1.190290
0.002498	72.560320	0.839349	1.190290
-0.002061	79.485848	0.915051	1.190290
0.001717	86.792857	0.978322	1.190290
0.001701	94.392796	1.031590	1.190290
0.002714	56.920998	0.000000	1.249046
0.002319	57.628118	0.156816	1.249046
0.002726	59.699246	0.306277	1.249046
0.001875	63.000000	0.442911	1.249046
0.002907	67.349833	0.563943	1.249046
0.002498	72.560320	0.668964	1.249046
0.004272	78.460181	0.759070	1.249046
0.002169	84.905830	0.836047	1.249046
0.001673	91.782351	0.901832	1.249046
-0.001540	99.000000	0.958242	1.249046
0.001657	65.520989	0.000000	1.292497
-0.002518	66.136223	0.136506	1.292497
0.002620	67.948510	0.268107	1.292497
0.001277	70.866071	0.390878	1.292497
-0.001437	74.759615	0.502415	1.292497
-0.002061	79.485848	0.601814	1.292497
0.002169	84.905830	0.689302	1.292497
0.003848	90.895544	0.765785	1.292497
-0.001840	97.349884	0.832476	1.292497
0.001853	104.182532	0.890651	1.292497
0.001864	74.215901	0.000000	1.325818
-0.002109	74.759615	0.120679	1.325818
0.002034	76.367532	0.237941	1.325818
-0.000951	78.974679	0.348919	1.325818
0.001792	82.486363	0.451633	1.325818
0.001717	86.792857	0.545068	1.325818
0.001673	91.782351	0.629015	1.325818
-0.001840	97.349884	0.703840	1.325818
-0.003272	103.402128	0.770244	1.325818
-0.001786	109.859001	0.829078	1.325818
-0.001033	82.975900	0.000000	1.352127
0.001553	83.462566	0.108043	1.352127
0.001743	84.905830	0.213621	1.352127
-0.001372	87.258237	0.314590	1.352127
0.001611	90.448881	0.409352	1.352127
0.001701	94.392796	0.496932	1.352127
-0.001540	99.000000	0.576931	1.352127
0.001853	104.182532	0.649399	1.352127
-0.001786	109.859001	0.714693	1.352127
-0.003371	115.956889	0.773349	1.352127
0.006095	27.000000	0.000000	0.000000
0.006321	28.460499	0.321751	0.000000
-0.006998	32.449961	0.588003	0.000000
0.010082	38.183766	0.785398	0.000000
-0.003754	45.000000	0.927295	0.000000
0.003502	52.478567	1.030377	0.000000
0.001825	60.373835	1.107149	0.000000
-0.001961	68.541958	1.165905	0.000000
-0.001785	76.896034	1.212026	0.000000
-0.001590	85.381497	1.249046	0.000000
0.006321	28.460499	0.000000	0.321751
0.006570	29.849623	0.306277	0.321751
-0.007303	33.674916	0.563943	0.321751
0.010677	39.230090	0.759070	0.321751
-0.004849	45.891176	0.901832	0.321751
-0.002719	53.244718	1.006854	0.321751
0.002743	61.040970	1.085747	0.321751
0.001497	69.130312	1.146485	0.321751
0.001440	77.420927	1.194361	0.321751
-0.001251	85.854528	1.232907	0.321751
-0.006998	32.449961	0.000000	0.588003
-0.007303	33.674916	0.270550	0.588003
0.008402	37.107951	0.506445	0.588003
0.011380	42.213742	0.693981	0.588003
-0.004258	48.466483	0.837215	0.588003
-0.003671	55.479726	0.946042	0.588003
0.001875	63.000000	1.029697	0.588003
0.001277	70.866071	1.095159	0.588003
-0.000951	78.974679	1.147365	0.588003
-0.001372	87.258237	1.189758	0.588003
0.010082	38.183766	0.000000	0.785398
0.010677	39.230090	0.231477	0.785398
0.011380	42.213742	0.440511	0.785398
-0.019984	46.765372	0.615480	0.785398
0.005878	52.478567	0.755969	0.785398
0.004040	59.016947	0.867157	0.785398
0.002935	66.136223	0.955317	0.785398
-0.002225	73.668175	1.025910	0.785398
-0.001915	81.498466	1.083180	0.785398
-0.001802	89.548869	1.130286	0.785398
-0.003754	45.000000	0.000000	0.927295
-0.004849	45.891176	0.197396	0.927295
-0.004258	48.466483	0.380506	0.927295
0.005878	52.478567	0.540420	0.927295
0.008342	57.628118	0.674741	0.927295
-0.003443	63.639610	0.785398	0.927295
0.002882	70.292247	0.876058	0.927295
-0.002129	77.420927	0.950547	0.927295
-0.001535	84.905830	1.012197	0.927295
-0.000872	92.660671	1.063698	0.927295
0.003502	52.478567	0.000000	1.030377
-0.002719	53.244718	0.169846	1.030377
-0.003671	55.479726	0.330423	1.030377
0.004040	59.016947	0.475177	1.030377
-0.003443	63.639610	0.601264	1.030377
0.006313	69.130312	0.708828	1.030377
-0.002749	75.299402	0.799686	1.030377
0.001969	81.993902	0.876259	1.030377
0.002103	89.095454	0.940957	1.030377
-0.001257	96.514248	0.995910	1.030377
0.001825	60.373835	0.000000	1.107149
0.002743	61.040970	0.147981	1.107149
0.001875	63.000000	0.289752	1.107149
0.002935	66.136223	0.420534	1.107149
0.002882	70.292247	0.537683	1.107149
-0.002749	75.299402	0.640522	1.107149
0.004855	81.000000	0.729728	1.107149
0.002108	87.258237	0.806681	1.107149
-0.001412	93.962759	0.873002	1.107149
-0.001738	101.024749	0.930274	1.107149
-0.001961	68.541958	0.000000	1.165905
0.001497	69.130312	0.130560	1.165905
0.001277	70.866071	0.256814	1.165905
-0.002225	73.668175	0.375253	1.165905
-0.002129	77.420927	0.483624	1.165905
0.001969	81.993902	0.580954	1.165905
0.002108	87.258237	0.667281	1.165905
-0.003895	93.096724	0.743292	1.165905
-0.002073	99.408249	0.809998	1.165905
0.001679	106.108435	0.868514	1.165905
-0.001785	76.896034	0.000000	1.212026
0.001440	77.420927	0.116511	1.212026
-0.000951	78.974679	0.229942	1.212026
-0.001915	81.498466	0.337675	1.212026
-0.001535	84.905830	0.437856	1.212026
0.002103	89.095454	0.529470	1.212026
-0.001412	93.962759	0.612232	1.212026
-0.002073	99.408249	0.686392	1.212026
0.003241	105.342299	0.752528	1.212026
0.001957	111.687063	0.811384	1.212026
-0.001590	85.381497	0.000000	1.249046
-0.001251	85.854528	0.105021	1.249046
-0.001372	87.258237	0.207776	1.249046
-0.001802	89.548869	0.306277	1.249046
-0.000872	92.660671	0.399019	1.249046
-0.001257	96.514248	0.485050	1.249046
-0.001738	101.024749	0.563943	1.249046
0.001679	106.108435	0.635689	1.249046
0.001957	111.687063	0.700576	1.249046
-0.003083	117.690271	0.759070	1.249046
-0.004125	36.000000	0.000000	0.000000
-0.003981	37.107951	0.244979	0.000000
0.002797	40.249224	0.463648	0.000000
-0.003754	45.000000	0.643501	0.000000
0.007073	50.911688	0.785398	0.000000
-0.002634	57.628118	0.896055	0.000000
0.002897	64.899923	0.982794	0.000000
-0.002117	72.560320	1.051650	0.000000
0.002011	80.498447	1.107149	0.000000
0.001077	88.639720	1.152572	0.000000
-0.003981	37.107951	0.000000	0.244979
-0.004616	38.183766	0.237941	0.244979
-0.002474	41.243181	0.451633	0.244979
-0.004849	45.891176	0.629015	0.244979
-0.007102	51.701064	0.770244	0.244979
-0.003212	58.326666	0.881222	0.244979
-0.003259	65.520989	0.968723	0.244979
-0.001563	73.116346	1.038493	0.244979
0.002386	81.000000	1.094914	0.244979
0.001078	89.095454	1.141208	0.244979
0.002797	40.249224	0.000000	0.463648
-0.002474	41.243181	0.219988	0.463648
-0.004406	44.090815	0.420534	0.463648
-0.004258	48.466483	0.590873	0.463648
-0.007679	54.000000	0.729728	0.463648
-0.002977	60.373835	0.841069	0.463648
0.002907	67.349833	0.930274	0.463648
-0.001437	74.759615	1.002281	0.463648
0.001792	82.486363	1.061057	0.463648
0.001611	90.448881	1.109629	0.463648
-0.003754	45.000000	0.000000	0.643501
-0.004849	45.891176	0.197396	0.643501
-0.004258	48.466483	0.380506	0.643501
0.005878	52.478567	0.540420	0.643501
0.008342	57.628118	0.674741	0.643501
-0.003443	63.639610	0.785398	0.643501
0.002882	70.292247	0.876058	0.643501
-0.002129	77.420927	0.950547	0.643501
-0.001535	84.905830	1.012197	0.643501
-0.000872	92.660671	1.063698	0.643501
0.007073	50.911688	0.000000	0.785398
-0.007102	51.701064	0.174969	0.785398
-0.007679	54.000000	0.339837	0.785398
0.008342	57.628118	0.487616	0.785398
-0.015068	62.353829	0.615480	0.785398
-0.004446	67.948510	0.723839	0.785398
-0.003374	74.215901	0.814827	0.785398
0.002343	81.000000	0.891123	0.785398
-0.001961	88.181631	0.955317	0.785398
0.001745	95.671312	1.009656	0.785398
-0.002634	57.628118	0.000000	0.896055
-0.003212	58.326666	0.154922	0.896055
-0.002977	60.373835	0.302746	0.896055
-0.003443	63.639610	0.438149	0.896055
-0.004446	67.948510	0.558380	0.896055
-0.006920	73.116346	0.662966	0.896055
0.003078	78.974679	0.752908	0.896055
-0.002008	85.381497	0.829901	0.896055
0.001993	92.222557	0.895817	0.896055
0.001733	99.408249	0.952422	0.896055
0.002897	64.899923	0.000000	0.982794
-0.003259	65.520989	0.137796	0.982794
0.002907	67.349833	0.270550	0.982794
0.002882	70.292247	0.394244	0.982794
-0.003374	74.215901	0.506445	0.982794
0.003078	78.974679	0.606266	0.982794
-0.005004	84.427484	0.693981	0.982794
-0.002133	90.448881	0.770544	0.982794
-0.001795	96.932967	0.837215	0.982794
-0.001703	103.793063	0.895304	0.982794
-0.002117	72.560320	0.000000	1.051650
-0.001563	73.116346	0.123404	1.051650
-0.001437	74.759615	0.243161	1.051650
-0.002129	77.420927	0.356229	1.051650
0.002343	81.000000	0.460554	1.051650
-0.002008	85.381497	0.555121	1.051650
-0.002133	90.448881	0.639784	1.051650
-0.004071	96.093704	0.714990	1.051650
-0.002194	102.220350	0.781522	1.051650
0.001627	108.747414	0.840303	1.051650
0.002011	80.498447	0.000000	1.107149
0.002386	81.000000	0.111341	1.107149
0.001792	82.486363	0.219988	1.107149
-0.001535	84.905830	0.323619	1.107149
-0.001961	88.181631	0.420534	1.107149
0.001993	92.222557	0.509740	1.107149
-0.001795	96.932967	0.590873	1.107149
-0.002194	102.220350	0.664056	1.107149
0.003478	108.000000	0.729728	1.107149
-0.001647	114.197198	0.788504	1.107149
0.001077	88.639720	0.000000	1.152572
0.001078	89.095454	0.101188	1.152572
0.001611	90.448881	0.200345	1.152572
-0.000872	92.660671	0.295675	1.152572
0.001745	95.671312	0.385787	1.152572
0.001733	99.408249	0.469767	1.152572
-0.001703	103.793063	0.547162	1.152572
0.001627	108.747414	0.617899	1.152572
-0.001647	114.197198	0.682182	1.152572
0.003307	120.074977	0.740394	1.152572
0.003175	45.000000	0.000000	0.000000
-0.002388	45.891176	0.197396	0.000000
-0.002824	48.466483	0.380506	0.000000
0.003502	52.478567	0.540420	0.000000
-0.002634	57.628118	0.674741	0.000000
0.005314	63.639610	0.785398	0.000000
-0.002324	70.292247	0.876058	0.000000
-0.002005	77.420927	0.950547	0.000000
0.002038	84.905830	1.012197	0.000000
0.001493	92.660671	1.063698	0.000000
-0.002388	45.891176	0.000000	0.197396
0.003306	46.765372	0.193658	0.197396
-0.001955	49.295030	0.373792	0.197396
-0.002719	53.244718	0.531808	0.197396
-0.003212	58.326666	0.665196	0.197396
-0.005379	64.272856	0.775594	0.197396
