Event based TLM
Project: PathLossCheck
Fri Dec 05 20:42:15 2008


V	Distance	Theta	Phi
-1.333333	0.000000	-1.#IND00	-1.#IND00
0.026805	9.000000	1.570796	-1.#IND00
-0.010799	18.000000	1.570796	-1.#IND00
-0.004886	27.000000	1.570796	-1.#IND00
0.003485	36.000000	1.570796	-1.#IND00
-0.002260	45.000000	1.570796	-1.#IND00
0.001516	54.000000	1.570796	-1.#IND00
0.000000	63.000000	1.570796	-1.#IND00
0.000000	72.000000	1.570796	-1.#IND00
0.000000	81.000000	1.570796	-1.#IND00
0.026805	9.000000	0.000000	1.570796
-0.036000	12.727922	0.785398	1.570796
0.009482	20.124612	1.107149	1.570796
0.005884	28.460499	1.249046	1.570796
-0.003467	37.107951	1.325818	1.570796
-0.001860	45.891176	1.373401	1.570796
-0.002276	54.744863	1.405648	1.570796
0.000000	63.639610	1.428899	1.570796
0.000000	72.560320	1.446441	1.570796
0.000000	81.498466	1.460139	1.570796
-0.010799	18.000000	0.000000	1.570796
0.009482	20.124612	0.463648	1.570796
-0.016160	25.455844	0.785398	1.570796
-0.006679	32.449961	0.982794	1.570796
-0.002519	40.249224	1.107149	1.570796
-0.002675	48.466483	1.190290	1.570796
-0.002356	56.920998	1.249046	1.570796
0.000000	65.520989	1.292497	1.570796
0.000000	74.215901	1.325818	1.570796
0.000000	82.975900	1.352127	1.570796
-0.004886	27.000000	0.000000	1.570796
0.005884	28.460499	0.321751	1.570796
-0.006679	32.449961	0.588003	1.570796
0.009772	38.183766	0.785398	1.570796
-0.003526	45.000000	0.927295	1.570796
0.003253	52.478567	1.030377	1.570796
0.001424	60.373835	1.107149	1.570796
0.000000	68.541958	1.165905	1.570796
0.000000	76.896034	1.212026	1.570796
0.000000	85.381497	1.249046	1.570796
0.003485	36.000000	0.000000	1.570796
-0.003467	37.107951	0.244979	1.570796
-0.002519	40.249224	0.463648	1.570796
-0.003526	45.000000	0.643501	1.570796
-0.007417	50.911688	0.785398	1.570796
0.002490	57.628118	0.896055	1.570796
-0.002402	64.899923	0.982794	1.570796
0.000000	72.560320	1.051650	1.570796
0.000000	80.498447	1.107149	1.570796
0.000000	88.639720	1.152572	1.570796
-0.002260	45.000000	0.000000	1.570796
-0.001860	45.891176	0.197396	1.570796
-0.002675	48.466483	0.380506	1.570796
0.003253	52.478567	0.540420	1.570796
0.002490	57.628118	0.674741	1.570796
0.005403	63.639610	0.785398	1.570796
0.002077	70.292247	0.876058	1.570796
0.000000	77.420927	0.950547	1.570796
0.000000	84.905830	1.012197	1.570796
0.000000	92.660671	1.063698	1.570796
0.001516	54.000000	0.000000	1.570796
-0.002276	54.744863	0.165149	1.570796
-0.002356	56.920998	0.321751	1.570796
0.001424	60.373835	0.463648	1.570796
-0.002402	64.899923	0.588003	1.570796
0.002077	70.292247	0.694738	1.570796
0.004455	76.367532	0.785398	1.570796
0.000000	82.975900	0.862170	1.570796
0.000000	90.000000	0.927295	1.570796
0.000000	97.349884	0.982794	1.570796
0.000000	63.000000	0.000000	1.570796
0.000000	63.639610	0.141897	1.570796
-3105036184601461300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000	65.520989	0.278300	1.570796
-3105036184601461300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000	68.541958	0.404892	1.570796
-3105036184601461300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000	72.560320	0.519146	1.570796
-3105036184601461300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000	77.420927	0.620249	1.570796
-3105036184601461300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000	82.975900	0.708626	1.570796
-3105036184601461300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000	89.095454	0.785398	1.570796
-3105036184601461300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000	95.671312	0.851966	1.570796
-3105036184601461300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000	102.615788	0.909753	1.570796
