Event based TLM
Project: StandardPLOutput
Wed Jan 21 16:29:02 2009


Route Analysis - 141 samples
Height = 60.000000

X	Y	PL(dB)
10.000000	10.000000	-63.795058
11.000000	11.000000	-65.266594
11.000000	11.000000	-65.266594
12.000000	12.000000	-62.526555
13.000000	13.000000	-64.942364
14.000000	14.000000	-63.041748
14.000000	14.000000	-63.041748
15.000000	15.000000	-62.478384
16.000000	16.000000	-63.389674
16.000000	16.000000	-63.389674
17.000000	17.000000	-61.934416
18.000000	18.000000	-61.759628
18.000000	18.000000	-61.759628
19.000000	19.000000	-63.130466
20.000000	20.000000	-61.456838
21.000000	21.000000	-60.852195
21.000000	21.000000	-60.852195
22.000000	22.000000	-60.449492
23.000000	23.000000	-60.119642
23.000000	23.000000	-60.119642
24.000000	24.000000	-60.402746
25.000000	25.000000	-59.749307
26.000000	26.000000	-59.193465
26.000000	26.000000	-59.193465
27.000000	27.000000	-60.325876
28.000000	28.000000	-59.221405
28.000000	28.000000	-59.221405
29.000000	29.000000	-57.715013
30.000000	30.000000	-57.163998
31.000000	31.000000	-58.206970
31.000000	31.000000	-58.206970
32.000000	32.000000	-57.240405
33.000000	33.000000	-56.874267
33.000000	33.000000	-56.874267
34.000000	34.000000	-56.833750
35.000000	35.000000	-55.754791
35.000000	35.000000	-55.754791
36.000000	36.000000	-53.797550
37.000000	37.000000	-55.529191
38.000000	38.000000	-54.465879
38.000000	38.000000	-54.465879
39.000000	39.000000	-53.988770
40.000000	40.000000	-54.527980
40.000000	40.000000	-54.527980
41.000000	41.000000	-52.927262
42.000000	42.000000	-52.243595
43.000000	43.000000	-52.285437
43.000000	43.000000	-52.285437
44.000000	44.000000	-50.917597
45.000000	45.000000	-50.543447
45.000000	45.000000	-50.543447
46.000000	46.000000	-49.135734
47.000000	47.000000	-48.845084
47.000000	47.000000	-48.845084
48.000000	48.000000	-47.515825
49.000000	49.000000	-47.305676
50.000000	50.000000	-46.468490
50.000000	50.000000	-46.468490
51.000000	51.000000	-44.641353
52.000000	52.000000	-44.767448
52.000000	52.000000	-44.767448
53.000000	53.000000	-42.332246
54.000000	54.000000	-40.315070
55.000000	55.000000	-40.548942
55.000000	55.000000	-40.548942
56.000000	56.000000	-37.226966
57.000000	57.000000	-33.525331
57.000000	57.000000	-33.525331
58.000000	58.000000	-34.395726
59.000000	59.000000	-26.298813
59.000000	59.000000	-26.298813
60.000000	60.000000	-13.234563
61.000000	61.000000	-26.298813
62.000000	62.000000	-34.395726
62.000000	62.000000	-34.395726
63.000000	63.000000	-33.525331
64.000000	64.000000	-37.226966
64.000000	64.000000	-37.226966
65.000000	65.000000	-40.548942
66.000000	66.000000	-40.315070
67.000000	67.000000	-42.332246
67.000000	67.000000	-42.332246
68.000000	68.000000	-44.767448
69.000000	69.000000	-44.641353
69.000000	69.000000	-44.641353
70.000000	70.000000	-46.468490
71.000000	71.000000	-47.305676
72.000000	72.000000	-47.515825
72.000000	72.000000	-47.515825
73.000000	73.000000	-48.845084
74.000000	74.000000	-49.135734
74.000000	74.000000	-49.135734
75.000000	75.000000	-50.543447
76.000000	76.000000	-50.917597
76.000000	76.000000	-50.917597
77.000000	77.000000	-52.285437
78.000000	78.000000	-52.243595
79.000000	79.000000	-52.927262
79.000000	79.000000	-52.927262
80.000000	80.000000	-54.527980
81.000000	81.000000	-53.988770
81.000000	81.000000	-53.988770
82.000000	82.000000	-54.465879
83.000000	83.000000	-55.529191
84.000000	84.000000	-53.797550
84.000000	84.000000	-53.797550
85.000000	85.000000	-55.754791
86.000000	86.000000	-56.833750
86.000000	86.000000	-56.833750
87.000000	87.000000	-56.874267
88.000000	88.000000	-57.240405
88.000000	88.000000	-57.240405
89.000000	89.000000	-58.206970
90.000000	90.000000	-57.163998
91.000000	91.000000	-57.715013
91.000000	91.000000	-57.715013
92.000000	92.000000	-59.221405
93.000000	93.000000	-60.325876
93.000000	93.000000	-60.325876
94.000000	94.000000	-59.193465
95.000000	95.000000	-59.749307
96.000000	96.000000	-60.402746
96.000000	96.000000	-60.402746
97.000000	97.000000	-60.119642
98.000000	98.000000	-60.449492
98.000000	98.000000	-60.449492
99.000000	99.000000	-60.852195
100.000000	100.000000	-61.456838
101.000000	101.000000	-63.130466
101.000000	101.000000	-63.130466
102.000000	102.000000	-61.759628
103.000000	103.000000	-61.934416
103.000000	103.000000	-61.934416
104.000000	104.000000	-63.389674
105.000000	105.000000	-62.478384
105.000000	105.000000	-62.478384
106.000000	106.000000	-63.041748
107.000000	107.000000	-64.942364
108.000000	108.000000	-62.526555
108.000000	108.000000	-62.526555
109.000000	109.000000	-65.266594
110.000000	110.000000	-63.795058
